F_0,F_1,F_2,Points_Magnitude
61.3413021396,-322.6624113240,325.6123922655,1.6356507540
-25.4527767125,-312.7369238909,320.8528827960,1.6534180641
-25.4109059721,-312.2224603137,320.3250681722,1.6534156799
-95.2682366957,-320.9823036720,315.6863369794,1.6358780861
102.9443051188,-338.3038576209,307.5842079909,1.6457287073
38.3904540286,-294.4977332312,303.4270719184,1.6301449537
-62.7803586672,-292.6705649789,297.6417779507,1.6305599213
27.3356567106,-264.2656322347,291.2457145001,1.6195387840
-142.3662697032,-336.8409883727,290.9861315604,1.6457462311
-45.5327754699,-263.1788732219,287.8061134175,1.6201767921
126.6565042125,-287.2175563468,276.4845199347,1.6285113096
91.7533219935,-256.7780485917,272.2827602300,1.6165988445
19.6022313442,-234.6107294920,271.8282093443,1.6141564846
-33.5925530505,-234.6709509502,270.1168984629,1.6147083044
-139.6296313731,-289.9795564155,268.5590069157,1.6300885677
182.7343219372,-314.0570336059,268.5077960205,1.6334950924
-108.2266050228,-252.8590074301,264.8165893125,1.6183563471
64.1491442589,-233.9132563916,262.6463660542,1.6132165194
-147.3067051465,-275.0153884953,259.3187872382,1.6253401041
-79.4630215581,-233.7200851057,258.6382019153,1.6146075726
-200.8504833840,-309.6003775534,251.0304054710,1.6333395243
73.9350234168,-223.6318975868,250.6755336405,1.6078011990
16.4008555035,40.8345731512,247.9865681898,1.4285763502
-5.1044577097,35.1148743184,247.5777606806,1.4217289686
14.8671427970,-210.3933281876,246.1254940818,1.6024192572
-87.1569563617,-224.2732723870,245.9187162719,1.6096314192
-4.2217258028,47.1938210589,245.8774393307,1.4389690161
-25.2598617578,-210.1539867268,245.3838748586,1.6030526161
11.6175343077,47.1147552033,244.8912602819,1.4393172264
141.4472560115,-243.9753320779,240.9248774209,1.6150441170
-16.5134297741,43.0498197235,240.1863411463,1.4315277338
184.5588042257,-282.4752940485,239.3708753590,1.6265786886
54.4611434848,-207.2842563477,238.0409009227,1.6012392044
-16.0136053575,47.4777930590,237.8380682477,1.4393628836
-64.9493300513,-206.8805816428,234.8239879993,1.6031086445
109.6212359261,-220.0648641256,233.2483901849,1.6045819521
7.2937405800,32.4075537763,233.0757518072,1.4211004972
184.3583372749,-267.9752636639,232.3508740647,1.6210343838
-152.2721818905,-238.5286309806,231.7022753031,1.6176717281
15.6231201835,45.9122347868,231.6035537369,1.4394465685
15.3834801475,33.0749998708,230.5490901658,1.4229502678
11.1741213634,-183.7851115680,225.9302476241,1.5914912224
-120.3205378893,-219.8274612950,225.6999054700,1.6075456142
-20.0734138256,-183.2120139492,225.5678378003,1.5921108723
-22.0582296025,47.1766068729,225.5209076335,1.4380866289
-30.9185536498,43.7564598886,225.1694582966,1.4334924221
29.8315985867,36.3656267241,224.7723418468,1.4296895266
-26.8503853821,35.0251130393,222.4695310125,1.4235370159
87.9212086062,-200.7465943023,222.4317443739,1.5993424654
-194.0344936166,-263.6930768689,222.1774317982,1.6226685047
43.0288165290,-182.1349411282,220.5442930134,1.5901358128
-12.2277719565,29.0323475114,220.2502811068,1.4199045897
-51.0390118289,-181.0562228594,218.7373913847,1.5919885635
-97.1392613852,-200.0962660625,216.8624883312,1.6023608446
-42.0573798402,24.6330740422,215.8580138457,1.4102606773
262.1842341477,-331.2541980683,215.0442224559,1.6384297609
-46.6501412149,23.6540142147,214.6132641427,1.4084753990
-38.7551120484,42.2703384986,213.0521322219,1.4324131012
27.7248210638,43.8361010951,213.0277949954,1.4400386810
-47.0329665994,16.0112725146,212.7736511567,1.3962901831
-20.0007581287,28.2235879073,211.1015916341,1.4193669558
-32.4010646059,19.9272217962,211.0481225510,1.4063704014
43.5071204090,34.0855654019,211.0374385006,1.4292390347
23.8801158829,20.9369992242,209.4329701725,1.4120714664
-40.2311031145,32.8612676783,208.9590026663,1.4210164547
174.2784456221,-233.4279237655,208.4551716960,1.6128231287
43.4525552888,24.6763748827,207.9969365699,1.4163337946
37.4287308406,20.0414754319,207.5663476431,1.4111318588
42.1364323848,42.6289450929,206.9751294689,1.4416471720
263.4961404560,-332.0033715669,206.4962927791,1.6435042620
111.5419568805,-196.1657477605,206.4910332501,1.5974899530
137.3700127748,-210.2983455532,206.0741089724,1.6003736258
-103.3496019423,47.0972224357,205.6654990714,1.4311161041
46.5705259826,41.7077150507,205.5661422380,1.4397009611
69.7026090986,-173.1673621644,204.9437464831,1.5868496895
-53.1075797599,23.1638525639,204.7847484067,1.4082877636
67.1897855122,43.9945722249,203.4537046476,1.4438030720
56.3581951837,40.6427555324,202.9881768436,1.4391648769
